"state","sa_no","year","parties_contested","parties_represented"
"Uttar_Pradesh",3,"1962",10,9
"Uttar_Pradesh",4,"1967",10,9
"Uttar_Pradesh",5,"1969",27,12
"Uttar_Pradesh",6,"1974",26,12
"Uttar_Pradesh",7,"1977",15,5
"Uttar_Pradesh",8,"1980",20,9
"Uttar_Pradesh",9,"1985",13,8
"Uttar_Pradesh",10,"1989",45,11
"Uttar_Pradesh",11,"1991",50,10
"Uttar_Pradesh",12,"1993",73,11
"Uttar_Pradesh",13,"1996",76,12
"Uttar_Pradesh",14,"2002",92,17
"Uttar_Pradesh",15,"2007",131,13
"Uttar_Pradesh",16,"2012",222,11
