"state","sa_no","year","total_candidates","deposit_saved"
"West_Bengal",3,"1962",961,961
"West_Bengal",4,"1967",1058,1058
"West_Bengal",5,"1969",1019,1013
"West_Bengal",6,"1971",1405,1404
"West_Bengal",7,"1972",833,832
"West_Bengal",8,"1977",1572,1541
"West_Bengal",9,"1982",1204,1189
"West_Bengal",10,"1987",1497,1422
"West_Bengal",11,"1991",1903,1740
"West_Bengal",12,"1996",2035,1748
"West_Bengal",13,"2001",1676,1620
"West_Bengal",14,"2006",1654,1646
"West_Bengal",15,"2011",1792,1779
"West_Bengal",16,"2016",1961,1926
